[410294]: 11777ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x0x0000002e922400; name='SPEECH-ConnectionUrl'; value='wss://localhost:8443/'
[410294]: 11777ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:1163 speech.config {"context":{"system":{"version":"1.40.0","name":"SpeechSDK","build":"Linux-x64","lang":"Python"},"os":{"name":"Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64","version":"6.6.87.2-microsoft-standard-WSL2","platform":"Linux"},"audio":{"source":{"type":"Stream","model":"","samplerate":"16000","bitspersample":"16","channelcount":"1"}}}}
[410294]: 11777ms SPX_TRACE_INFO:  usp_connection.cpp:787 Create requestId  for messageType 0
[410294]: 11777ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter.cpp:230 SetFormat
[410294]: 11777ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:3396 InformAdapterSetFormatStarting
[410294]: 11777ms SPX_TRACE_INFO:  web_socket.cpp:800 DoWork: open transport.
[410294]: 11777ms SPX_TRACE_INFO:  web_socket.cpp:479 Start to open websocket. WebSocket: 0x401cd50, wsio handle: 0x401dc60
[410294]: 11777ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:149 Open
[410294]: 11777ms SPX_TRACE_INFO: AZ_LOG_INFO:  tlsio_openssl.c:2027 create_openssl_instance by TLS_method.
[410294]: 11777ms SPX_TRACE_INFO: AZ_LOG_INFO:  tlsio_openssl.c:1849 load_system_store not implemented on this platform
[410294]: 11777ms SPX_TRACE_INFO: AZ_LOG_INFO:  tlsio_openssl.c:1882 CRL check enabled.
[410294]: 11779ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:149 Open
[410294]: 11789ms SPX_TRACE_ERROR: AZ_LOG_ERROR:  tlsio_openssl.c:1272 could not read file /home/qiushuo/src/test-speech-sdk-crl-partition/tmp_crl_cache/ec1457bb.crl.0
[410294]: 11789ms SPX_TRACE_ERROR: AZ_LOG_ERROR:  tlsio_openssl.c:1272 could not read file /home/qiushuo/src/test-speech-sdk-crl-partition/tmp_crl_cache/ec1457bb.crl.1
[410294]: 11789ms SPX_TRACE_ERROR: AZ_LOG_ERROR:  tlsio_openssl.c:1272 could not read file /home/qiushuo/src/test-speech-sdk-crl-partition/tmp_crl_cache/ec1457bb.crl.2
[410294]: 11789ms SPX_TRACE_ERROR: AZ_LOG_ERROR:  tlsio_openssl.c:1272 could not read file /home/qiushuo/src/test-speech-sdk-crl-partition/tmp_crl_cache/ec1457bb.crl.3
[410294]: 11789ms SPX_TRACE_ERROR: AZ_LOG_ERROR:  tlsio_openssl.c:1272 could not read file /home/qiushuo/src/test-speech-sdk-crl-partition/tmp_crl_cache/ec1457bb.crl.4
[410294]: 11789ms SPX_TRACE_ERROR: AZ_LOG_ERROR:  tlsio_openssl.c:1272 could not read file /home/qiushuo/src/test-speech-sdk-crl-partition/tmp_crl_cache/ec1457bb.crl.5
[410294]: 11789ms SPX_TRACE_ERROR: AZ_LOG_ERROR:  tlsio_openssl.c:1272 could not read file /home/qiushuo/src/test-speech-sdk-crl-partition/tmp_crl_cache/ec1457bb.crl.6
[410294]: 11789ms SPX_TRACE_ERROR: AZ_LOG_ERROR:  tlsio_openssl.c:1272 could not read file /home/qiushuo/src/test-speech-sdk-crl-partition/tmp_crl_cache/ec1457bb.crl.7
[410294]: 11789ms SPX_TRACE_ERROR: AZ_LOG_ERROR:  tlsio_openssl.c:1272 could not read file /home/qiushuo/src/test-speech-sdk-crl-partition/tmp_crl_cache/ec1457bb.crl.8
[410294]: 11789ms SPX_TRACE_ERROR: AZ_LOG_ERROR:  tlsio_openssl.c:1272 could not read file /home/qiushuo/src/test-speech-sdk-crl-partition/tmp_crl_cache/ec1457bb.crl.9
[410294]: 11791ms SPX_TRACE_ERROR: AZ_LOG_ERROR:  tlsio_openssl.c:1030 Error loading CRL from http://localhost:9000/crl/partition2.crl
[410294]: 11791ms SPX_TRACE_ERROR: AZ_LOG_ERROR:  tlsio_openssl.c:1624 Unable to retrieve CRL, CRL check may fail.
[410294]: 11791ms SPX_TRACE_ERROR: AZ_LOG_ERROR:  tlsio_openssl.c:691 error:10080002:BIO routines::system lib
[410294]: 11791ms SPX_TRACE_ERROR: AZ_LOG_ERROR:  tlsio_openssl.c:2464 FORCE-Closing tlsio instance.
[410294]: 11791ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:247 OnWebSocketOpened
[410294]: 11792ms SPX_TRACE_ERROR:  web_socket.cpp:902 WS open operation failed with result=1(WS_OPEN_ERROR_UNDERLYING_IO_OPEN_FAILED), code=2573[0x00000a0d], time=2026-05-19T06:28:03.0397888Z
[410294]: 11792ms SPX_TRACE_INFO:  usp_connection.cpp:932 TS:15, TransportError: connection:0x401c050, code=5, string=Connection failed (no connection to the remote host). Internal error: 1. Error details: Failed with error: WS_OPEN_ERROR_UNDERLYING_IO_OPEN_FAILED
wss://localhost:8443/
X-ConnectionId: 256b72b93af54b51992643d1937e1ef4
